image_url,appeal,true_label
https://images.pexels.com/photos/170811/pexels-photo-170811.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is a car and there clearly is.,valid
https://images.pexels.com/photos/170811/pexels-photo-170811.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I misclicked that there is not a car.,invalid
https://images.pexels.com/photos/457418/pexels-photo-457418.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is a car and there clearly is.,valid
https://images.pexels.com/photos/457418/pexels-photo-457418.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I misclicked that there is not a car.,invalid
https://images.pexels.com/photos/1280560/pexels-photo-1280560.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,I said there is a car and there clearly is.,valid
https://images.pexels.com/photos/1280560/pexels-photo-1280560.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,I misclicked that there is not a car.,invalid
https://images.pexels.com/photos/38637/car-audi-auto-automotive-38637.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,I said there is a car and there clearly is.,valid
https://images.pexels.com/photos/38637/car-audi-auto-automotive-38637.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,I misclicked that there is not a car.,invalid
https://images.pexels.com/photos/1134857/pexels-photo-1134857.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,I said there is a car and there clearly is.,valid
https://images.pexels.com/photos/1134857/pexels-photo-1134857.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,I misclicked that there is not a car.,invalid
https://images.pexels.com/photos/239520/pexels-photo-239520.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,I said there is not a car there clearly is not.,valid
https://images.pexels.com/photos/239520/pexels-photo-239520.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,I misclicked that there is a car.,invalid
https://images.pexels.com/photos/208560/pexels-photo-208560.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is not a car there clearly is not.,valid
https://images.pexels.com/photos/208560/pexels-photo-208560.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I misclicked that there is a car.,invalid
https://images.pexels.com/photos/1121782/pexels-photo-1121782.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is not a car there clearly is not.,valid
https://images.pexels.com/photos/1121782/pexels-photo-1121782.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I misclicked that there is a car.,invalid
https://images.pexels.com/photos/210017/pexels-photo-210017.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is not a car there clearly is not.,valid
https://images.pexels.com/photos/210017/pexels-photo-210017.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I misclicked that there is a car.,invalid
https://images.pexels.com/photos/1655304/pexels-photo-1655304.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,I said there is not a car there clearly is not.,valid
https://images.pexels.com/photos/1655304/pexels-photo-1655304.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,I misclicked that there is a car.,invalid
https://images.pexels.com/photos/1737405/pexels-photo-1737405.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,The image was too blurry to tell.,grey
https://images.pexels.com/photos/1668928/pexels-photo-1668928.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,The image was too blurry to tell.,grey
https://images.pexels.com/photos/1707820/pexels-photo-1707820.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,The image was too blurry to tell.,grey
https://images.pexels.com/photos/343469/pexels-photo-343469.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,The image was too blurry to tell.,grey
https://images.pexels.com/photos/67088/pexels-photo-67088.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,The image was too blurry to tell.,grey
http://clipart-library.com/images/XyckrGXTE.jpg,I said there is not a car because the instructions did not specify whether cartoon cars count.,grey
http://clipart-library.com/images/XyckrGXTE.jpg,I said there is a car because the instructions did not specify that cartoon cars do not count.,grey
https://carwad.net/sites/default/files/cartoon-picture-of-car-144193-5745661.png,I said there is not a car because the instructions did not specify whether cartoon cars count.,grey
https://carwad.net/sites/default/files/cartoon-picture-of-car-144193-5745661.png,I said there is a car because the instructions did not specify that cartoon cars do not count.,grey
https://thumbs.dreamstime.com/t/cartoon-car-vector-illustration-background-51064190.jpg,I said there is not a car because the instructions did not specify whether cartoon cars count.,grey
https://thumbs.dreamstime.com/t/cartoon-car-vector-illustration-background-51064190.jpg,I said there is a car because the instructions did not specify that cartoon cars do not count.,grey
https://freedesignfile.com/upload/2013/02/Cartoon-cars-2.jpg,I said there is not a car because the instructions did not specify whether cartoon cars count.,grey
https://freedesignfile.com/upload/2013/02/Cartoon-cars-2.jpg,I said there is a car because the instructions did not specify that cartoon cars do not count.,grey
https://www.pritchettcartoons.com/cartoons/road-trip.jpg,I said there is not a car because the instructions did not specify whether cartoon cars count.,grey
https://www.pritchettcartoons.com/cartoons/road-trip.jpg,I said there is a car because the instructions did not specify that cartoon cars do not count.,grey
https://images.pexels.com/photos/188679/pexels-photo-188679.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is not a car because the instructions did not specify whether trucks count.,grey
https://images.pexels.com/photos/188679/pexels-photo-188679.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is a car because the instructions did not specify that trucks do not count.,grey
https://images.pexels.com/photos/539858/pexels-photo-539858.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is not a car because the instructions did not specify whether trucks count.,grey
https://images.pexels.com/photos/539858/pexels-photo-539858.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is a car because the instructions did not specify that trucks do not count.,grey
https://images.pexels.com/photos/1070571/pexels-photo-1070571.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is not a car because the instructions did not specify whether trucks count.,grey
https://images.pexels.com/photos/1070571/pexels-photo-1070571.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is a car because the instructions did not specify that trucks do not count.,grey
https://images.pexels.com/photos/1008738/pexels-photo-1008738.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is not a car because the instructions did not specify whether trucks count.,grey
https://images.pexels.com/photos/1008738/pexels-photo-1008738.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is a car because the instructions did not specify that trucks do not count.,grey
https://images.pexels.com/photos/417003/pexels-photo-417003.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is not a car because the instructions did not specify whether trucks count.,grey
https://images.pexels.com/photos/417003/pexels-photo-417003.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,I said there is a car because the instructions did not specify that trucks do not count.,grey
https://images.pexels.com/photos/128367/pexels-photo-128367.png?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,The car was too small for me to initially notice it.,invalid
https://images.pexels.com/photos/23735/pexels-photo.jpg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,The car was too small for me to initially notice it.,invalid
https://images.pexels.com/photos/1834403/pexels-photo-1834403.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,The car was too small for me to initially notice it.,invalid
https://images.pexels.com/photos/280221/pexels-photo-280221.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,The car was too small for me to initially notice it.,invalid
https://images.pexels.com/photos/1486785/pexels-photo-1486785.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,The car was too small for me to initially notice it.,invalid
